game_index,pair_index,seed,grid_size,superko_mode,black_slot,white_slot,black_agent,white_agent,winner,truncated,plies,duration_seconds,black_area,white_area
94,47,20260872,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5647428999654949,7,3
95,47,20260872,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.042055799858644605,0,0
96,48,20260873,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.27831600001081824,5,0
97,48,20260873,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,10,0.4889907001052052,7,6
98,49,20260874,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2875759000889957,5,0
99,49,20260874,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.3086747000925243,3,5
100,50,20260875,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.11843379982747138,3,0
101,50,20260875,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.28475699992850423,0,5
102,51,20260876,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5272273998707533,8,5
103,51,20260876,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05326370010152459,0,0
104,52,20260877,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.29250239999964833,5,0
105,52,20260877,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,10,0.5005105000454932,7,4
106,53,20260878,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.39356149989180267,7,0
107,53,20260878,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,4,0.18902930011972785,3,3
108,54,20260879,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.523554100189358,6,3
109,54,20260879,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.40639039990492165,3,7
110,55,20260880,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.37735119997523725,7,0
111,55,20260880,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2722227999474853,4,6
112,56,20260881,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1294519999064505,3,0
113,56,20260881,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.04165109992027283,0,0
114,57,20260882,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.564546599984169,7,5
115,57,20260882,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.14978659991174936,0,3
116,58,20260883,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.7332731001079082,8,6
117,58,20260883,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5852838000282645,3,9
118,59,20260884,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.1472020000219345,3,0
119,59,20260884,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2692003999836743,0,5
120,60,20260885,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2561183001380414,5,0
121,60,20260885,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,10,0.49419029988348484,5,9
122,61,20260886,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.4718871000222862,7,5
123,61,20260886,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.03706520004197955,0,0
124,62,20260887,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5856969999149442,6,3
125,62,20260887,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.05034009995870292,0,0
126,63,20260888,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.28884649998508394,5,0
127,63,20260888,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,4,0.20748779992572963,3,3
128,64,20260889,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5010089999996126,7,5
129,64,20260889,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4086684000212699,3,7
130,65,20260890,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2681336998939514,5,0
131,65,20260890,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.41792059992440045,0,10
132,66,20260891,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.47648110007867217,8,4
133,66,20260891,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.04007519991137087,0,0
134,67,20260892,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.41337980004027486,7,0
135,67,20260892,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4335578999016434,0,10
136,68,20260893,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.4514810999389738,7,5
137,68,20260893,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,7,0.30471729999408126,0,5
138,69,20260894,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.5500736001413316,8,5
139,69,20260894,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.2715364000760019,0,5
140,70,20260895,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.25539870001375675,5,0
141,70,20260895,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,BLACK,False,12,0.578086500056088,7,6
142,71,20260896,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.26467390009202063,5,0
143,71,20260896,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,11,0.5504999998956919,5,9
144,72,20260897,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.28658369998447597,5,0
145,72,20260897,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.27904759999364614,0,5
146,73,20260898,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5429849000647664,7,3
147,73,20260898,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.28961229999549687,0,5
148,74,20260899,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.5399535000324249,8,6
149,74,20260899,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.43274020007811487,4,7
150,75,20260900,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2602812999393791,5,0
151,75,20260900,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.049843600019812584,0,0
152,76,20260901,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.32511800015345216,5,0
153,76,20260901,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.5392076000571251,3,9
154,77,20260902,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.12634239997714758,3,0
155,77,20260902,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,2,0.051009099930524826,0,0
156,78,20260903,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,9,0.518497799988836,7,3
157,78,20260903,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,10,0.4914710000157356,4,8
158,79,20260904,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.16222249995917082,3,0
159,79,20260904,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,6,0.27359799994155765,0,5
160,80,20260905,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,10,0.4894773999694735,6,3
161,80,20260905,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.446858299896121,6,7
162,81,20260906,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2840700000524521,5,0
163,81,20260906,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,7,0.32782469992525876,0,5
164,82,20260907,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,3,0.15591530012898147,3,0
165,82,20260907,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,9,0.4807835000101477,5,8
166,83,20260908,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,7,0.37342180009000003,7,0
167,83,20260908,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,DRAW,False,6,0.3112659999169409,4,4
168,84,20260909,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,5,0.2579588000662625,5,0
169,84,20260909,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,4,0.13265189994126558,0,3
170,85,20260910,5,enforce,A,B,alphazero-topology_gnn-7180ca466e1f,random,BLACK,False,11,0.5955888000316918,6,3
171,85,20260910,5,enforce,B,A,random,alphazero-topology_gnn-7180ca466e1f,WHITE,False,8,0.4201506001409143,5,6
